match_id,event_id,map,round_number,round_score,winner,side,win_type
348457,1999,Split,4,4-0,team1,attack,Elimination
348457,1999,Split,5,5-0,team1,attack,Spike exploded
348457,1999,Split,6,6-0,team1,attack,Elimination
348457,1999,Split,7,7-0,team1,attack,Elimination
348457,1999,Split,8,8-0,team1,attack,Elimination
348457,1999,Split,9,8-1,team2,defense,Elimination
348457,1999,Split,10,8-2,team2,defense,Defused
348457,1999,Split,11,9-2,team1,attack,Elimination
348457,1999,Split,12,9-3,team2,defense,Elimination
348457,1999,Split,13,10-3,team1,defense,Defused
348457,1999,Split,14,11-3,team1,defense,Elimination
348457,1999,Split,15,11-4,team2,attack,Elimination
348457,1999,Split,16,11-5,team2,attack,Elimination
348457,1999,Split,17,12-5,team1,defense,Defused
348457,1999,Split,18,12-6,team2,attack,Spike exploded
348457,1999,Split,19,12-7,team2,attack,Elimination
348457,1999,Split,20,12-8,team2,attack,Elimination
348457,1999,Split,21,13-8,team1,defense,Defused
359463,1999,Abyss,1,1-0,team1,attack,Elimination
359463,1999,Abyss,2,2-0,team1,attack,Elimination
359463,1999,Abyss,3,2-1,team2,defense,Defused
359463,1999,Abyss,4,2-2,team2,defense,Elimination
359463,1999,Abyss,5,2-3,team2,defense,Elimination
359463,1999,Abyss,6,3-3,team1,attack,Elimination
359463,1999,Abyss,7,4-3,team1,attack,Elimination
359463,1999,Abyss,8,5-3,team1,attack,Elimination
359463,1999,Abyss,9,6-3,team1,attack,Elimination
359463,1999,Abyss,10,6-4,team2,defense,Elimination
359463,1999,Abyss,11,7-4,team1,attack,Elimination
359463,1999,Abyss,12,8-4,team1,attack,Elimination
359463,1999,Abyss,13,8-5,team2,attack,Elimination
359463,1999,Abyss,14,8-6,team2,attack,Elimination
359463,1999,Abyss,15,9-6,team1,defense,Defused
359463,1999,Abyss,16,9-7,team2,attack,Elimination
359463,1999,Abyss,17,10-7,team1,defense,Defused
359463,1999,Abyss,18,11-7,team1,defense,Elimination
359463,1999,Abyss,19,11-8,team2,attack,Elimination
359463,1999,Abyss,20,11-9,team2,attack,Elimination
359463,1999,Abyss,21,11-10,team2,attack,Elimination
359463,1999,Abyss,22,11-11,team2,attack,Elimination
359463,1999,Abyss,23,11-12,team2,attack,Elimination
359463,1999,Abyss,24,11-13,team2,attack,Elimination
378825,2097,Lotus,1,1-0,team1,defense,Defused
378825,2097,Lotus,2,2-0,team1,defense,Elimination
378825,2097,Lotus,3,3-0,team1,defense,Time out
378825,2097,Lotus,4,3-1,team2,attack,Elimination
378825,2097,Lotus,5,3-2,team2,attack,Spike exploded
378825,2097,Lotus,6,3-3,team2,attack,Spike exploded
378825,2097,Lotus,7,4-3,team1,defense,Time out
378825,2097,Lotus,8,5-3,team1,defense,Defused
378825,2097,Lotus,9,6-3,team1,defense,Time out
378825,2097,Lotus,10,7-3,team1,defense,Defused
378825,2097,Lotus,11,8-3,team1,defense,Defused
378825,2097,Lotus,12,9-3,team1,defense,Defused
378825,2097,Lotus,13,10-3,team1,attack,Elimination
378825,2097,Lotus,14,11-3,team1,attack,Elimination
378825,2097,Lotus,15,12-3,team1,attack,Elimination
378825,2097,Lotus,16,13-3,team1,attack,Elimination
378825,2097,Abyss,1,1-0,team1,attack,Elimination
378825,2097,Abyss,2,2-0,team1,attack,Elimination
378825,2097,Abyss,3,3-0,team1,attack,Elimination
378825,2097,Abyss,4,4-0,team1,attack,Elimination
378825,2097,Abyss,5,5-0,team1,attack,Spike exploded
378825,2097,Abyss,6,5-1,team2,defense,Defused
378825,2097,Abyss,7,6-1,team1,attack,Elimination
378825,2097,Abyss,8,7-1,team1,attack,Spike exploded
378825,2097,Abyss,9,7-2,team2,defense,Defused
378825,2097,Abyss,10,8-2,team1,attack,Elimination
378825,2097,Abyss,11,8-3,team2,defense,Defused
378825,2097,Abyss,12,9-3,team1,attack,Spike exploded
